accuracy,balanced_accuracy,f1,precision,recall,auc,subject,n_test,n_pos
0.5,0.5,0.6666666666666666,0.5,1.0,,PA01,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA02,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA03,50,25
0.52,0.52,0.6756756756756757,0.5102040816326531,1.0,,PA04,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA05,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA06,50,25
0.5,0.5,0.6575342465753424,0.5,0.96,,PA07,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA08,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA10,50,25
0.46,0.46,0.5970149253731343,0.47619047619047616,0.8,,PA11,50,25
0.48,0.48,0.6486486486486487,0.4897959183673469,0.96,,PA12,50,25
0.5,0.5,0.647887323943662,0.5,0.92,,PA13,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA14,50,25
0.52,0.52,0.6756756756756757,0.5102040816326531,1.0,,PA15,50,25
0.46,0.46,0.6301369863013698,0.4791666666666667,0.92,,PA16,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA17,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA18,50,25
0.46,0.46,0.6301369863013698,0.4791666666666667,0.92,,PA19,50,25
0.5,0.5,0.647887323943662,0.5,0.92,,PA20,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA21,50,25
0.48,0.48,0.6486486486486487,0.4897959183673469,0.96,,PA22,50,25
0.4,0.4,0.5588235294117647,0.4418604651162791,0.76,,PA24,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB01,50,25
0.46,0.46,0.6197183098591549,0.4782608695652174,0.88,,PB02,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB03,50,25
0.54,0.54,0.6666666666666666,0.5227272727272727,0.92,,PB04,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB05,50,25
0.5,0.5,0.5901639344262295,0.5,0.72,,PB06,50,25
0.34,0.33999999999999997,0.4,0.36666666666666664,0.44,,PB07,50,25
0.52,0.52,0.6666666666666666,0.5106382978723404,0.96,,PB08,50,25
0.52,0.52,0.6129032258064516,0.5135135135135135,0.76,,PB10,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB12,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB13,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB14,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB15,50,25
0.46,0.46,0.6301369863013698,0.4791666666666667,0.92,,PB16,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB17,50,25
0.54,0.54,0.684931506849315,0.5208333333333334,1.0,,PB18,50,25
